Location,Movie Title,Date,Amenities
"Family friendly activities and games.""",,,
,,,
"Daniel Webster Park, Chicago """,The Croods,29-Jul,
,,,
"Montgomery Ward Park, Chicago """,Gravity ,29-Jul,
,,,
"Millennium Park, Chicago """,This is Spinal Tap,30-Jul,
"Presented with WBEZ's Sound Opinions.""",,,
,,,
"Gladstone Park, Chicago """,The Wizard of Oz,30-Jul,
"Family friendly activities and games.""",,,
,,,
"Portage Park, Chicago """,E.T.: The Extra-Terrestrial,30-Jul,
"Family friendly activities and games.""",,,
,,,
"Touhy Park, Chicago """,The Muppet Movie,30-Jul,
"Family friendly activities and games.""",,,
,,,
"Owens Park, Chicago """,Superman ,30-Jul,
"Family friendly activities and games.""",,,
,,,
"Hermosa Park, Chicago """,Justin Bieber: Never Say Never,30-Jul,
"Selections from the International Latino Cultural Center.""",,,
,,,
"Union Park, Chicago """,The Goonies,30-Jul,
"Open space for truffle shuffling.""",,,
,,,
"Davis Square Park, Chicago """,Despicable Me 2,31-Jul,
,,,
"Margate Park, Chicago """,Star Trek: Into Darkness,31-Jul,
,,,
"Metcalfe Park, Chicago """,42,31-Jul,
,,,
"Cragin Park, Chicago """,Despicable Me 2,1-Aug,
,,,
"Dawes Park, Chicago """,Lee Daniels' The Butler,1-Aug,
,,,
"Vittum Park, Chicago """,Epic,1-Aug,
,,,
"Ada Park, Chicago """,42,2-Aug,
,,,
"Jonquil Playlot, Chicago """,Mr. Peabody & Sherman,2-Aug,
,,,
"Sauganash Park, Chicago """,The Nut Job,2-Aug,
,,,
"Calumet Park, Chicago """,Jumanji ,3-Aug,
,,,
"Lincoln Park Cultural Center, Chicago """,The Hunger Games,3-Aug,
,,,
"Senka Park, Chicago """,Mr. Peabody & Sherman,3-Aug,
,,,
"Indian Road Park, Chicago """,Space Jam,4-Aug,
"A 1 in 10,000 chance that Bill Murray randomly shows up.""",,,
,,,
"Lake Meadows Park, Chicago """,Big Fish,4-Aug,
,,,
"Millennium Park, Chicago """,The Birdcage,5-Aug,
,,,
"West Lawn Park, Chicago """,The Lego Movie,5-Aug,
"Family friendly activities and games that won't hurt like a mother when you step on them.""",,,
,,,
"Grand Crossing Park, Chicago """,Lee Daniels' The Butler,5-Aug,
,,,
