Location	MovieDate	Formatted_Address	Lat	Lng
Brainerd Park, Chicago 	Jul-12 Mandela: Long Walk to Freedom	Brainerd Park, 1246 West 92nd Street, Chicago, IL 60620, USA	41.7278055	-87.65420809999999
Oz Park, Chicago 	Jul-12 Return to Me	Oz Park, 2021 North Burling Street, Chicago, IL 60614, USA	41.9210045	-87.645164
Douglas Park, Chicago 	Jul-13 Willy Wonka & the Chocolate Factory	Douglas Park, Chicago, IL, USA	41.8593746	-87.6950899
Emmerson Park, Chicago 	Jul-13 Despicable Me 2	Emmerson Park, 1820 West Granville Avenue, Chicago, IL 60660, USA	41.9945884	-87.6770674
Lake Shore Park, Chicago 	Jul-13 The Monuments Men	Lake Shore & North Ave, Chicago, IL 60610, USA	41.910497	-87.626317
Mandrake Park, Chicago 	Jul-14 Beasts of the Southern Wild	Mandrake Park, 901 E. Pershing Rd, Chicago, IL 60653, USA	41.8231319	-87.6072208
Pasteur Park, Chicago 	Jul-14 Cloudy with a Chance of Meatballs 2	Pasteur Park, 5825 South Kostner Avenue, Chicago, IL 60629, USA	41.7876517	-87.73274339999999
Millennium Park, Chicago 	Jul-15 O Brother, Where Art Thou?	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Hermosa Park, Chicago 	Jul-15 Fast & Furious 6	Hermosa Park, Chicago, IL 60639, USA	41.9219812	-87.74034569999999
Montgomery Ward Park, Chicago 	Jul-15 Chicago 	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Murray Playground Park, Chicago 	Jul-15 The Lorax	Chicago, IL, USA	41.8781136	-87.6297982
Gompers Park, Chicago 	Jul-16 The Muppet Movie 	Gompers Park, 4222 W West Foster Avenue, Chicago, IL 60630, USA	41.9754946	-87.734866
Palmer Park, Chicago 	Jul-16 The Family that Preys	Palmer Park, 201 East 111th Street, Chicago, IL 60628, USA	41.6922968	-87.61763440000001
Calumet Park, Chicago 	Jul-16 Fireproof	Calumet Park, United States	41.7179843	-87.5284578
Skinner Park, Chicago 	Jul-16 The Smurfs 2	Skinner Park, 1331 West Monroe Street, Chicago, IL 60607, USA	41.8790015	-87.660708
Armour Square Park, Chicago 	Jul-17 Singin' in the Rain	Armour Square Park, 3309 South Shields Avenue, Chicago, IL 60616, USA	41.8339319	-87.6351869
Jackie Robinson Park, Chicago 	Jul-17 42	Jackie Robinson Park, 10540 South Morgan Street, Chicago, IL 60643, USA	41.7008834	-87.64793910000002
Wicker Park, Chicago 	Jul-17 The Sandlot 	Wicker Park, Chicago, IL, USA	41.9088028	-87.6795985
Brooks Park, Chicago 	Jul-18 The Smurfs 2 	Brooks Park, 7100 North Harlem Avenue, Chicago, IL 60631, USA	42.0100901	-87.8066753
Fosco Park, Chicago 	Jul-18 Mandela: Long Walk to Freedom	Fosco Park, 1312 South Racine Avenue, Chicago, IL 60608, USA	41.8645051	-87.6571882
Ken-Well Park, Chicago 	Jul-18 Journey 2: The Mysterious Island	Ken-Well Park, 2945 North Kenosha Avenue, Chicago, IL 60641, USA	41.93439559999999	-87.73342170000001
DuSable Museum of African American History, Chicago 	Jul-19 42	DuSable Museum of African American History, 740 East 56th Place, Chicago, IL 60637, USA	41.7918148	-87.6070993
Ellis Park, Chicago 	Jul-19 Despicable Me 2	Ellis Park, 535 East 35th Street, Chicago, IL 60616, USA	41.8307505	-87.6109745
Loyola Park, Chicago 	Jul-19 Captain Phillips	Loyola Park, 1230 West Greenleaf Avenue, Chicago, IL 60626, USA	42.0108499	-87.6616126
Humboldt Park, Chicago 	Jul-20 The Book Thief	Humboldt Park, Chicago, IL, USA	41.9017035	-87.70248169999999
Jonquil Playlot, Chicago 	Jul-20 Ghostbusters 	Jonquil Playlot Park, 1001 West Wrightwood Avenue, Chicago, IL 60614, USA	41.92847889999999	-87.6545678
Tuley Park, Chicago 	Jul-20 The Hunger Games: Catching Fire 	Tuley Park, 501 East 90th Place, Chicago, IL 60619, USA	41.73031719999999	-87.6118497
Calumet Park, Chicago 	Jul-21 Buck and the Preacher	Calumet Park, United States	41.7179843	-87.5284578
Fulton River Park, Chicago 	Jul-21 Sixteen Candles	Fulton River Park, 601 West Kinzie Street, Chicago, IL 60654, USA	41.8888903	-87.6437764
Sheridan Park, Chicago 	Jul-21 The Little Rascals	Sheridan Park, Chicago, IL, USA	41.9655201	-87.6629672
Millennium Park, Chicago 	Jul-22 Field of Dreams	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Amundsen Park, Chicago 	Jul-22 Ride Along	Amundsen Park, Chicago, IL 60639, USA	41.9137522	-87.7794078
Hoyne Playground Park, Chicago 	Jul-22 Cloudy With a Chance of Meatballs 2 	Chicago, IL, USA	41.8781136	-87.6297982
Smith Park, Chicago 	Jul-22 Ghostbusters	Smith Park, Chicago, IL, USA	41.8933833	-87.68954529999999
Kilbourn Park, Chicago 	Jul-23 Annie 	Kilbourn Park, Chicago, IL, USA	41.9423655	-87.7392883
Mann Park, Chicago 	Jul-23 The Little Rascals	Mann Park, 3035 East 130th Street, Chicago, IL 60633, USA	41.6573545	-87.5504284
Sumner Park, Chicago 	Jul-23 Ride Along	Sumner School Park, 4350 West 5th Avenue, Chicago, IL 60624, USA	41.8705484	-87.73455109999999
Lincoln Park Zoo, Chicago 	Jul-24 Talladega Nights	Lincoln Park Zoo, 2001 North Clark Street, Chicago, IL 60614, USA	41.9208903	-87.6329172
Athletic Field Park, Chicago 	Jul-24 The Perfect Game	Athletic Field Park, 3546 West Addison Street, Chicago, IL 60618, USA	41.9475472	-87.7169538
Fuller Park, Chicago 	Jul-24 Despicable Me 2	Fuller Park, Chicago, IL, USA	41.8091205	-87.6323511
Mary Bartelme Park, Chicago 	Jul-24 Star Trek: Into Darkness	Mary Bartelme Park, 115 South Sangamon Street, Chicago, IL 60607, USA	41.8798824	-87.6503706
Rainey Park, Chicago 	Jul-24 Turbo 	Rainey Park, 4350 West 79th Street, Chicago, IL 60652, USA	41.7494354	-87.73059839999999
Altgeld Park, Chicago 	Jul-25 Drumline 	Altgeld Park, 515 South Washtenaw Avenue, Chicago, IL 60612, USA	41.87439759999999	-87.6926804
Avalon Park, Chicago 	Jul-25 42	Avalon Park, Chicago, IL, USA	41.747774	-87.5908816
Galewood Park, Chicago 	Jul-25 The Hunger Games: Catching Fire	Galewood, Chicago, IL 60707, USA	41.9163889	-87.7858333
Hoard Playground Park, Chicago 	Jul-26 The Amazing Spider-Man	Chicago, IL, USA	41.8781136	-87.6297982
Kennicott Park, Chicago 	Jul-26 Roll Bounce	Kennicott Park, 4434 South Lake Park Avenue, Chicago, IL 60653, USA	41.8136075	-87.5974648
Paschen Park, Chicago 	Jul-26 Despicable Me 2	Paschen Park, Chicago, IL 60626, USA	42.0091887	-87.67984059999999
Austin Town Hall Park, Chicago 	Jul-27 The Help	Austin Town Hall Park, 5610 West Lake Street, Chicago, IL 60644, USA	41.888194	-87.76577909999999
Marquette Park, Chicago 	Jul-27 Life of Pi 	Marquette Park, Chicago, IL, USA	41.7656499	-87.69907309999999
Jackson Park, Chicago 	Jul-28 Rebel Without a Cause	Jackson Park, Chicago, IL, USA	41.7832522	-87.57825299999999
Belmont Harbor, Chicago 	Jul-28 The Bachelor and the Bobby Soxer	Belmont Harbor, Chicago, IL 60657, USA	41.9400652	-87.63747680000002
Russell Square Park, Chicago 	Jul-28 The Nut Job	Russell Square Park, 3045 East 83rd Street, Chicago, IL 60617, USA	41.743921	-87.54885650000001
Daniel Webster Park, Chicago 	Jul-29 The Croods	Daniel Webster Elementary School, 4055 West Arthington Street, Chicago, IL 60624, USA	41.8697009	-87.727081
Montgomery Ward Park, Chicago 	Jul-29 Gravity 	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Millennium Park, Chicago 	Jul-30 This is Spinal Tap 	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Gladstone Park, Chicago 	Jul-30 The Wizard of Oz	Gladstone Park, Chicago, IL, USA	41.9811108	-87.7750136
Portage Park, Chicago 	Jul-30 E.T.: The Extra-Terrestrial	Portage Park, Chicago, IL, USA	41.953662	-87.7644903
Touhy Park, Chicago 	Jul-30 The Muppet Movie	Touhy Park, 7348 North Paulina Street, Chicago, IL 60626, USA	42.0148518	-87.6737491
Owens Park, Chicago 	Jul-30 Superman 	Owens Park, 8800 South Clyde Avenue, Chicago, IL 60617, USA	41.7357635	-87.5748053
Hermosa Park, Chicago 	Jul-30 Justin Bieber: Never Say Never	Hermosa Park, Chicago, IL 60639, USA	41.9219812	-87.74034569999999
Union Park, Chicago 	Jul-30 The Goonies	Union Park, 1501 West Randolph Street, Chicago, IL 60607, USA	41.8847622	-87.6652755
Davis Square Park, Chicago 	Jul-31 Despicable Me 2	Davis Square Park, 4430 South Marshfield Avenue, Chicago, IL 60609, USA	41.8134737	-87.6663385
Margate Park, Chicago 	Jul-31 Star Trek: Into Darkness	Margate Park Fieldhouse, 4921 North Marine Drive, Chicago, IL 60640, USA	41.9720946	-87.64982189999999
Metcalfe Park, Chicago 	Jul-31 42	Metcalfe Park, Chicago, IL 60609, USA	41.8179514	-87.62696749999999
Cragin Park, Chicago 	Aug-1 Despicable Me 2	Cragin Park, Chicago, IL 60639, USA	41.92836399999999	-87.7577279
Dawes Park, Chicago 	Aug-1 Lee Daniels' The Butler	Dawes Park, 8052 South Damen Avenue, Chicago, IL 60620, USA	41.7465294	-87.6747563
Vittum Park, Chicago 	Aug-1 Epic	Vittum Park, Chicago, IL, USA	41.8028954	-87.7472086
Ada Park, Chicago 	Aug-2 42	Ada Park, 11250 South Ada Street, Chicago, IL 60643, USA	41.6891048	-87.6556293
Jonquil Playlot, Chicago 	Aug-2 Mr. Peabody & Sherman	Jonquil Playlot Park, 1001 West Wrightwood Avenue, Chicago, IL 60614, USA	41.92847889999999	-87.6545678
Sauganash Park, Chicago 	Aug-2 The Nut Job	Sauganash Park, 5861 North Kostner Avenue, Chicago, IL 60646, USA	41.9882037	-87.7372685
Calumet Park, Chicago 	Aug-3 Jumanji 	Calumet Park, United States	41.7179843	-87.5284578
Lincoln Park Cultural Center, Chicago 	Aug-3 The Hunger Games	Cultural Center, Chicago, IL 60614, USA	41.918809	-87.63544019999999
Senka Park, Chicago 	Aug-3 Mr. Peabody & Sherman	Senka Park, 5656 South Saint Louis Avenue, Chicago, IL 60629, USA	41.79031459999999	-87.7108252
Indian Road Park, Chicago 	Aug-4 Space Jam	Indian Road Park, 6010 West Matson Avenue, Chicago, IL 60646, USA	41.9928009	-87.77835259999999
Lake Meadows Park, Chicago 	Aug-4 Big Fish	Lake Meadows Park, 3117 South Rhodes Avenue, Chicago, IL 60616, USA	41.8378669	-87.613479
Millennium Park, Chicago 	Aug-5 The Birdcage	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
West Lawn Park, Chicago 	Aug-5 The Lego Movie	West Lawn Park, 4233 West 65th Street, Chicago, IL 60629, USA	41.7731153	-87.72870979999999
Grand Crossing Park, Chicago 	Aug-5 Lee Daniels' The Butler	Grand Crossing Park, South Ingleside Avenue, Chicago, IL 60619, USA	41.755802	-87.6016334
Heritage Green Park, Chicago 	Aug-5 Ghostbusters 	Heritage Green Park, 610-30 West Adams Street, Chicago, IL 60606, USA	41.8795801	-87.643468
Trebes Park, Chicago 	Aug-5 Cloudy With a Chance of Meatballs 2	Trebes Park, 2250 North Clifton Avenue, Chicago, IL 60614, USA	41.9220339	-87.6576506
